【一、前端页面数据库打通情况】
页面路径,页面名称,所属模块,打通状态,数据来源说明
/auth/signin,登录页,Auth,N/A,"登录页，不涉及数据库查询"
/(root),首页,Other,N/A,"重定向到登录或工作台"
/operator/agent-console,Dashboard,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/studio,Agent Studio,AI Agent Console,已打通,"prisma查询workflow+nodes+edges+skills+tools+models+knowledge；save/publish API已对接"
/operator/agent-console/test,测试与发布,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/monitor,运行监控,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/operation,知识运营中心,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/assets,知识资产中心,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/graph,知识关系图谱,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/rag,RAG检索中心,AI Agent Console,已打通,"prisma直接查询；向量搜索API已实现"
/operator/agent-console/models,模型服务,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/settings,权限与审计,AI Agent Console,已打通,"prisma直接查询"
/operator,运营工作台,Operator,已打通,"prisma直接查询"
/operator/projects,项目管理,Operator,已打通,"prisma直接查询"
/operator/projects/[code],项目详情,Operator,已打通,"prisma直接查询"
/operator/collection,数据采集,Operator,已打通,"prisma直接查询"
/operator/annotation,数据标注,Operator,已打通,"prisma直接查询"
/operator/quality,质量监控,Operator,已打通,"prisma直接查询"
/operator/quality/defects,缺陷库,Operator,未打通,"静态页面，无数据库查询"
/operator/review,项目审核,Operator,已打通,"prisma直接查询"
/operator/finance,财务结算,Operator,已打通,"prisma直接查询"
/operator/suppliers,供应商管理,Operator,未打通,"纯静态模拟数据"
/operator/agent,Agent助手,Operator,已打通,"调用API + prisma"
/operator/logs,操作日志,Operator,已打通,"prisma直接查询"
/operator/assets,数据资产中心,Operator,已打通,"prisma直接查询"
/operator/settings,系统设置,Operator,未打通,"纯静态页面"
/operator/permissions,权限管理,Operator,未打通,"纯静态模拟数据"
/user,用户首页,User,N/A,"重定向到/user/workspace"
/user/workspace,用户工作台,User,已打通,"prisma直接查询"
/user/projects/[code],项目详情,User,已打通,"prisma直接查询"
/user/projects/[code]/chat,项目对话,User,已打通,"prisma直接查询"
/user/agent,Agent助手,User,已打通,"prisma直接查询"
/user/models,模型中心,User,已打通,"prisma直接查询"
/user/data,数据管理,User,已打通,"prisma直接查询"
/user/annotation,数据标注,User,已打通,"prisma直接查询"
/user/collection,数据采集,User,已打通,"prisma直接查询"
/user/compute,计算资源,User,未打通,"纯静态模拟数据"
/user/settings,设置中心,User,未打通,"纯静态页面"
/user/workflow-demo,工作流演示,User,未打通,"演示页，模拟数据"
/supplier,供应商工作台,Supplier,未打通,"纯静态模拟数据"
/supplier/annotation,标注工作台,Supplier,未打通,"纯静态模拟数据"
/supplier/annotation/[batchId],标注详情,Supplier,未打通,"纯静态模拟数据"
/supplier/chat/[projectId],供应商沟通,Supplier,未打通,"纯静态模拟数据"
/supplier/delivery,交付管理,Supplier,未打通,"纯静态模拟数据"
/supplier/team,团队管理,Supplier,未打通,"纯静态模拟数据"
/supplier/quality,质量管理,Supplier,未打通,"纯静态模拟数据"
/supplier/split,数据拆分,Supplier,未打通,"纯静态模拟数据"
/supplier/rules,规则中心,Supplier,未打通,"纯静态模拟数据"
/supplier/settlement,结算中心,Supplier,未打通,"纯静态模拟数据"
/projects/new,新建项目,Other,部分打通,"前端表单已有，提交后走API创建项目但部分字段未映射"

统计,已打通:29页,未打通:18页,N/A:3页,总页面数:50页,打通率:62%
Skill,author,User,是,,"@relation(""SkillAuthor"", fields: [authorId], references: [id])"
Skill,versions,SkillVersion[],否,,数组
SkillVersion,id,String,是,"cuid()",主键
SkillVersion,skillId,String,是,,
SkillVersion,version,String,是,,
SkillVersion,inputSchema,Json?,否,,
SkillVersion,outputSchema,Json?,否,,
SkillVersion,prompt,String?,否,,
SkillVersion,code,String?,否,,
SkillVersion,changelog,String?,否,,
SkillVersion,createdAt,DateTime,是,"now()",
SkillVersion,skill,Skill,是,,"@relation(fields: [skillId], references: [id])"
OfficialPost,id,String,是,"cuid()",主键
OfficialPost,title,String,是,,
OfficialPost,type,String,是,,
OfficialPost,content,String,是,,
OfficialPost,startsAt,DateTime?,否,,
OfficialPost,endsAt,DateTime?,否,,
OfficialPost,visibility,String,是,"PUBLIC",
OfficialPost,createdAt,DateTime,是,"now()",
Knowledge,id,String,是,"cuid()",主键
Knowledge,title,String,是,,
Knowledge,content,String,是,,
Knowledge,type,String,是,,
Knowledge,category,String?,否,,
Knowledge,status,String,是,"DRAFT",
Knowledge,confidence,Int,是,"80",
Knowledge,tags,String?,否,,
Knowledge,sourceType,String?,否,,
Knowledge,sourceId,String?,否,,
Knowledge,creatorId,String?,否,,
Knowledge,reviewerId,String?,否,,
Knowledge,publisherId,String?,否,,
Knowledge,callCount,Int,是,"0",
Knowledge,createdAt,DateTime,是,"now()",
Knowledge,updatedAt,DateTime,是,,自动更新
Knowledge,publishedAt,DateTime?,否,,
Knowledge,relations,KnowledgeRelation[],否,,数组
Knowledge,embedding,KnowledgeEmbedding?,否,,
KnowledgeRelation,id,String,是,"cuid()",主键
KnowledgeRelation,knowledgeId,String,是,,
KnowledgeRelation,relationType,String,是,,
KnowledgeRelation,targetType,String,是,,
KnowledgeRelation,targetId,String,是,,
KnowledgeRelation,createdBy,String?,否,,
KnowledgeRelation,createdAt,DateTime,是,"now()",
KnowledgeRelation,knowledge,Knowledge,是,,"@relation(fields: [knowledgeId], references: [id], onDelete: Cascade)"
KnowledgeEmbedding,id,String,是,"cuid()",主键
KnowledgeEmbedding,knowledgeId,String,是,,唯一
KnowledgeEmbedding,vectorId,String?,否,,
KnowledgeEmbedding,embeddingStatus,String,是,"PENDING",
KnowledgeEmbedding,chunkCount,Int,是,"0",
KnowledgeEmbedding,vectorDimension,Int?,否,,
KnowledgeEmbedding,modelName,String?,否,,
KnowledgeEmbedding,errorMessage,String?,否,,
KnowledgeEmbedding,createdAt,DateTime,是,"now()",
KnowledgeEmbedding,updatedAt,DateTime,是,,自动更新
KnowledgeEmbedding,knowledge,Knowledge,是,,"@relation(fields: [knowledgeId], references: [id], onDelete: Cascade)"
AgentWorkflow,id,String,是,"cuid()",主键
AgentWorkflow,name,String,是,,
AgentWorkflow,description,String?,否,,
AgentWorkflow,status,String,是,"DRAFT",
AgentWorkflow,version,String,是,"1.0.0",
AgentWorkflow,canvasData,String?,否,,
AgentWorkflow,skillIds,String?,否,,
AgentWorkflow,knowledgeIds,String?,否,,
AgentWorkflow,toolIds,String?,否,,
AgentWorkflow,modelEntityId,String?,否,,
AgentWorkflow,creatorId,String?,否,,
AgentWorkflow,createdAt,DateTime,是,"now()",
AgentWorkflow,updatedAt,DateTime,是,,自动更新
AgentWorkflow,publishedAt,DateTime?,否,,
AgentWorkflow,nodes,AgentWorkflowNode[],否,,数组
AgentWorkflow,edges,AgentWorkflowEdge[],否,,数组
AgentWorkflow,variables,WorkflowVariable[],否,,数组
AgentWorkflowNode,id,String,是,"cuid()",主键
AgentWorkflowNode,workflowId,String,是,,
AgentWorkflowNode,nodeType,String,是,,
AgentWorkflowNode,nodeName,String,是,,
AgentWorkflowNode,description,String?,否,,
AgentWorkflowNode,inputSchema,String?,否,,"JSON数组，定义输入变量"
AgentWorkflowNode,outputSchema,String?,否,,"JSON数组，定义输出变量"
AgentWorkflowNode,configJson,String?,否,,"节点配置，含userInputs/runtimeContext等"
AgentWorkflowNode,runtimeConfig,String?,否,,"运行时配置，含timeout/retry等"
AgentWorkflowNode,positionX,Int,是,"0",
AgentWorkflowNode,positionY,Int,是,"0",
AgentWorkflowNode,createdAt,DateTime,是,"now()",
AgentWorkflowNode,workflow,AgentWorkflow,是,,"@relation(fields: [workflowId], references: [id])"
AgentWorkflowEdge,id,String,是,"cuid()",主键
AgentWorkflowEdge,workflowId,String,是,,
AgentWorkflowEdge,sourceNodeId,String,是,,
AgentWorkflowEdge,targetNodeId,String,是,,
AgentWorkflowEdge,sourcePort,String?,否,,
AgentWorkflowEdge,targetPort,String?,否,,
AgentWorkflowEdge,condition,String?,否,,
AgentWorkflowEdge,createdAt,DateTime,是,"now()",
AgentWorkflowEdge,workflow,AgentWorkflow,是,,"@relation(fields: [workflowId], references: [id])"
WorkflowVariable,id,String,是,"cuid()",主键
WorkflowVariable,workflowNodeId,String,是,,
WorkflowVariable,name,String,是,,
WorkflowVariable,type,String,是,,
WorkflowVariable,source,String?,否,,
WorkflowVariable,sourceField,String?,否,,
WorkflowVariable,description,String?,否,,
WorkflowVariable,defaultValue,Json?,否,,
WorkflowVariable,node,AgentWorkflowNode,是,,"@relation(fields: [workflowNodeId], references: [id])"
AgentTestCase,id,String,是,"cuid()",主键
AgentTestCase,workflowId,String?,否,,
AgentTestCase,name,String,是,,
AgentTestCase,input,String,是,,
AgentTestCase,expected,String?,否,,
AgentTestCase,category,String?,否,,
AgentTestCase,tags,String?,否,,
AgentTestCase,passed,Boolean?,否,,
AgentTestCase,score,Float?,否,,
AgentTestCase,createdAt,DateTime,是,"now()",
AgentSessionTrace,id,String,是,"cuid()",主键
AgentSessionTrace,sessionId,String,是,,
AgentSessionTrace,question,String?,否,,
AgentSessionTrace,status,String,是,"RUNNING",
AgentSessionTrace,totalTokens,Int?,否,,
AgentSessionTrace,durationMs,Int?,否,,
AgentSessionTrace,createdAt,DateTime,是,"now()",
AgentNodeExecution,id,String,是,"cuid()",主键
AgentNodeExecution,traceId,String,是,,
AgentNodeExecution,nodeId,String?,否,,
AgentNodeExecution,nodeType,String?,否,,
AgentNodeExecution,inputJson,Json?,否,,
AgentNodeExecution,outputJson,Json?,否,,
AgentNodeExecution,tokens,Int?,否,,
AgentNodeExecution,durationMs,Int?,否,,
AgentNodeExecution,errorMessage,String?,否,,
AgentNodeExecution,createdAt,DateTime,是,"now()",

统计,模型总数:39个,总字段数:520个（含Workflow升级新增字段）,,,
